Customer_ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6
CUST0057,On-time,Late,Late,Late,Missed,On-time
CUST0058,Missed,Missed,Missed,Missed,Late,On-time
CUST0059,Late,Missed,Missed,Missed,Late,Missed
CUST0060,On-time,Late,Missed,Late,Missed,On-time
CUST0061,On-time,Missed,Late,Missed,Missed,On-time
CUST0062,Late,Missed,On-time,On-time,Missed,Missed
CUST0063,Missed,Late,Late,On-time,Late,On-time
CUST0064,Missed,Missed,Missed,Missed,On-time,Missed
CUST0065,On-time,Missed,Late,On-time,On-time,Late
CUST0066,Missed,On-time,Missed,Missed,Late,Missed
CUST0067,On-time,Late,On-time,Missed,On-time,On-time
CUST0068,Missed,Missed,On-time,Late,Late,Missed
CUST0069,Missed,Late,Missed,Late,Late,Missed
CUST0070,Late,Missed,On-time,On-time,On-time,Missed
CUST0071,On-time,On-time,Missed,Missed,On-time,Late
CUST0072,Missed,On-time,On-time,Missed,On-time,On-time
CUST0073,Late,Late,Missed,On-time,On-time,Missed
CUST0074,On-time,On-time,Missed,Late,On-time,Missed
CUST0075,On-time,On-time,On-time,Missed,On-time,On-time
CUST0076,Missed,Missed,Late,Missed,Late,On-time
CUST0077,Late,Missed,Late,On-time,Missed,Missed
CUST0078,Missed,On-time,On-time,On-time,On-time,On-time
CUST0079,On-time,Missed,On-time,Late,On-time,Late
CUST0080,Missed,On-time,Late,On-time,On-time,Late
CUST0081,Missed,Late,Late,On-time,Late,On-time
CUST0082,Late,Late,Missed,On-time,Late,Late
CUST0083,On-time,Missed,Late,Late,Missed,Missed
CUST0084,Late,Late,Missed,Late,Late,Late
CUST0085,On-time,Missed,Late,On-time,Late,On-time
CUST0086,Missed,Missed,On-time,Late,Missed,On-time
CUST0087,On-time,Missed,On-time,Late,On-time,Missed
CUST0088,On-time,Late,On-time,Late,Missed,On-time
CUST0089,On-time,Late,Missed,Late,Missed,On-time
CUST0090,On-time,Late,On-time,Missed,Missed,On-time
CUST0091,On-time,Late,Late,On-time,On-time,Late
CUST0092,Missed,Late,Late,On-time,On-time,Late
CUST0093,Late,Late,Missed,On-time,Missed,On-time
CUST0094,On-time,Late,Missed,On-time,On-time,Late
CUST0095,Missed,Late,Missed,Missed,Missed,On-time
CUST0096,On-time,Late,Missed,Late,Missed,Missed
CUST0097,On-time,On-time,Missed,Missed,On-time,On-time
CUST0098,Missed,Late,On-time,On-time,Missed,On-time
CUST0099,Missed,Late,On-time,Missed,On-time,Late
CUST0100,Late,Missed,Missed,Late,Late,Late
CUST0101,On-time,Late,Missed,Late,Late,Missed
CUST0102,Late,Missed,Missed,Missed,Missed,On-time
CUST0103,Late,Missed,Late,Late,Missed,On-time
CUST0104,Late,On-time,Late,Late,Missed,Missed
CUST0105,Missed,On-time,Missed,On-time,On-time,Late
CUST0106,Late,Late,Late,Missed,Missed,Missed
CUST0107,On-time,On-time,Late,Late,Late,On-time
CUST0108,Missed,Missed,Late,On-time,On-time,Missed
CUST0109,Missed,Late,On-time,Late,Missed,Late
CUST0110,Missed,Missed,On-time,Late,On-time,On-time
CUST0111,Missed,Missed,On-time,Late,Late,Late
CUST0112,Late,Missed,Late,Late,Late,On-time
CUST0113,Missed,Late,Late,Late,Missed,On-time
CUST0114,On-time,Late,Late,Late,On-time,On-time
CUST0115,On-time,On-time,Missed,Late,Missed,Late
CUST0116,On-time,Late,Late,Late,Missed,Late
CUST0117,Late,Late,Missed,Missed,Missed,Missed
CUST0118,Late,Late,On-time,Late,On-time,Late
CUST0119,On-time,Late,On-time,Missed,Late,Missed
CUST0120,Late,Missed,Late,Late,On-time,Missed
CUST0121,Missed,On-time,Missed,On-time,On-time,Missed
CUST0122,Late,On-time,On-time,Late,Missed,On-time
CUST0123,On-time,On-time,Missed,Missed,On-time,Missed
CUST0124,Late,On-time,On-time,Late,On-time,Late
CUST0125,On-time,On-time,Late,On-time,Missed,Missed
CUST0126,On-time,On-time,Missed,Late,On-time,Late
CUST0127,Late,On-time,Late,Missed,Late,On-time
CUST0128,On-time,Late,Late,Missed,Missed,Late
CUST0129,Late,Missed,On-time,Missed,Missed,Missed
CUST0130,On-time,On-time,Missed,Missed,Late,Missed
CUST0131,On-time,On-time,On-time,On-time,Missed,Late
CUST0132,Late,Late,Missed,Late,Missed,On-time
CUST0133,Missed,Late,Missed,Late,Missed,Late
CUST0134,Missed,On-time,On-time,Missed,Missed,Missed
CUST0135,Late,On-time,Late,On-time,Missed,Late
CUST0136,On-time,On-time,Missed,Missed,Missed,Late
CUST0137,Missed,Missed,On-time,Missed,On-time,On-time
CUST0138,Late,Late,Missed,Missed,On-time,On-time
CUST0139,Missed,On-time,On-time,Late,Late,On-time
CUST0140,On-time,On-time,On-time,Late,Late,On-time
CUST0141,On-time,Late,Missed,On-time,Missed,On-time
CUST0142,Late,On-time,Missed,Late,Missed,Late
CUST0143,On-time,Late,On-time,Missed,On-time,Late
CUST0144,On-time,Late,Missed,On-time,On-time,On-time
CUST0145,On-time,Missed,On-time,Missed,Late,On-time
CUST0146,Missed,Late,On-time,Late,Late,Missed
CUST0147,Late,On-time,Late,Missed,Late,On-time
CUST0148,Missed,Late,Missed,Late,Late,Late
CUST0149,On-time,On-time,On-time,Late,On-time,On-time
CUST0150,Late,On-time,On-time,Late,On-time,Late
CUST0151,On-time,Late,Late,Missed,Late,Missed
CUST0152,On-time,Missed,On-time,Late,On-time,Late
CUST0153,On-time,Late,Missed,On-time,Missed,Missed
CUST0154,On-time,Missed,Missed,Late,Late,Missed
CUST0155,Missed,Missed,Missed,Late,Late,Late
CUST0156,Late,Missed,On-time,Late,Missed,Missed
CUST0157,On-time,Late,Late,Late,Late,Missed
CUST0158,On-time,On-time,Late,Late,Missed,Missed
CUST0159,Late,On-time,On-time,On-time,Missed,On-time
CUST0160,On-time,Late,Missed,On-time,Late,On-time
CUST0161,On-time,Late,Missed,On-time,On-time,Late
CUST0162,Late,Missed,Missed,Late,On-time,Late
CUST0163,Missed,Missed,On-time,Late,Late,Late
CUST0164,Missed,Missed,On-time,Missed,On-time,On-time
CUST0165,Missed,Late,Late,Missed,Missed,Late
CUST0166,Missed,Missed,Late,On-time,Late,Missed
CUST0167,On-time,On-time,Missed,Missed,Late,On-time
CUST0168,On-time,Late,Missed,Missed,On-time,Late
CUST0169,On-time,Late,Missed,On-time,Missed,Late
CUST0170,On-time,Missed,On-time,On-time,Late,On-time
CUST0171,Missed,Late,Late,Missed,Late,On-time
CUST0172,Missed,On-time,On-time,Missed,On-time,Late
CUST0173,On-time,On-time,Missed,On-time,On-time,Late
CUST0174,On-time,Late,On-time,Missed,Missed,Missed
CUST0175,Late,Missed,Missed,Late,Late,Late
CUST0176,On-time,Missed,Late,Missed,Missed,Late
CUST0177,Late,On-time,Missed,On-time,Missed,Late
CUST0178,Late,Late,Late,Late,On-time,On-time
CUST0179,Late,Late,Missed,Late,On-time,Missed
CUST0180,Late,Late,On-time,Late,Missed,Missed
CUST0181,On-time,Missed,Late,Missed,On-time,Late
CUST0182,Late,Late,On-time,Missed,Missed,On-time
CUST0183,Late,Missed,Late,Missed,On-time,Missed
CUST0184,Late,Late,Late,Missed,Late,Missed
CUST0185,On-time,Late,On-time,Missed,Late,Late
CUST0186,On-time,On-time,Missed,Late,Late,On-time
CUST0187,Late,Late,Missed,On-time,On-time,On-time
CUST0188,Missed,On-time,Late,On-time,On-time,Late
CUST0189,On-time,On-time,On-time,Late,Missed,Late
CUST0190,Missed,On-time,On-time,Late,On-time,Late
CUST0191,Missed,On-time,Late,Late,Late,On-time
CUST0192,Missed,Missed,Late,Missed,On-time,Late
CUST0193,On-time,On-time,On-time,On-time,Missed,Missed
CUST0194,Missed,Late,Missed,Missed,Missed,Missed
CUST0195,Missed,Missed,Missed,Late,On-time,Late
CUST0196,Late,On-time,Missed,Late,Late,Missed
CUST0197,On-time,Late,On-time,Missed,Late,Missed
CUST0198,On-time,Missed,Missed,On-time,On-time,On-time
CUST0199,Missed,Late,Late,On-time,Missed,Missed
CUST0200,Late,Late,Missed,On-time,On-time,Late
CUST0201,On-time,Late,Late,Late,Missed,On-time
CUST0202,Missed,Missed,Missed,Missed,On-time,Missed
CUST0203,Missed,On-time,Late,Late,Missed,Late
CUST0204,Missed,Late,Late,Missed,Missed,Missed
CUST0205,Late,Missed,On-time,Late,Late,On-time
CUST0206,On-time,On-time,Missed,Late,Missed,On-time
CUST0207,On-time,Missed,Missed,Late,Late,Late
CUST0208,Missed,Missed,On-time,On-time,Late,On-time
CUST0209,On-time,On-time,Missed,Missed,Missed,On-time
CUST0210,On-time,On-time,On-time,Missed,Missed,Missed
CUST0211,Late,On-time,Missed,Missed,On-time,On-time
CUST0212,Late,Late,Missed,On-time,On-time,Missed
CUST0213,Late,On-time,Late,On-time,Missed,On-time
CUST0214,Missed,Late,On-time,On-time,Late,Missed
CUST0215,On-time,Missed,Late,On-time,On-time,On-time
CUST0216,Late,On-time,On-time,On-time,Late,Missed
CUST0217,On-time,Missed,On-time,Missed,Missed,Missed
CUST0218,On-time,Late,Late,On-time,Missed,Missed
CUST0219,On-time,On-time,Late,Missed,On-time,Missed
CUST0220,On-time,Missed,Late,Missed,Missed,Missed
CUST0221,Late,Missed,On-time,Late,Missed,Late
CUST0222,Late,Late,Missed,Missed,On-time,Late
CUST0223,Missed,On-time,Late,On-time,Late,Late
CUST0224,On-time,Missed,On-time,Late,Missed,On-time
CUST0225,Late,On-time,On-time,Late,Late,Missed
CUST0226,Missed,On-time,On-time,Late,Late,Late
CUST0227,Late,Late,Missed,Missed,On-time,Missed
CUST0228,Missed,Missed,Missed,On-time,Missed,Late
CUST0229,Late,Late,On-time,Late,Missed,Missed
CUST0230,Missed,Missed,On-time,Late,Missed,On-time
CUST0231,Late,On-time,Missed,Late,Late,On-time
CUST0232,On-time,On-time,Late,Late,On-time,Late
CUST0233,Late,On-time,Late,Late,Missed,Missed
CUST0234,Late,On-time,On-time,Missed,Missed,Missed
CUST0235,Missed,Late,Missed,Missed,Missed,Missed
CUST0236,Late,Late,On-time,Missed,Late,Missed
CUST0237,On-time,Missed,Missed,On-time,Missed,Missed
CUST0238,On-time,Missed,On-time,Missed,On-time,On-time
CUST0239,On-time,Late,On-time,Missed,Missed,Late
CUST0240,On-time,On-time,Missed,On-time,Late,On-time
CUST0241,On-time,Late,Missed,Late,Missed,Missed
CUST0242,Late,Missed,Late,On-time,Missed,Late
CUST0243,On-time,On-time,Late,Late,On-time,Late
CUST0244,Late,On-time,Late,Late,Missed,Late
CUST0245,Late,On-time,Missed,On-time,Missed,Missed
CUST0246,Missed,Late,Missed,Missed,On-time,Late
CUST0247,Missed,Late,Missed,Late,Late,On-time
CUST0248,On-time,Late,On-time,On-time,On-time,Late
CUST0249,On-time,On-time,Late,Late,Missed,Late
CUST0250,Missed,On-time,Missed,Missed,On-time,On-time
CUST0251,Missed,Missed,On-time,Late,Late,Missed
CUST0252,Missed,On-time,Missed,Late,On-time,Late
CUST0253,Missed,Missed,Late,Missed,Late,On-time
CUST0254,On-time,Missed,Late,Missed,Missed,On-time
CUST0255,Missed,Late,On-time,On-time,Missed,Missed
CUST0256,On-time,Missed,Missed,On-time,On-time,Late
CUST0257,On-time,On-time,On-time,On-time,Late,Missed
CUST0258,Late,On-time,Missed,Late,Missed,On-time
CUST0259,Late,Missed,On-time,Missed,On-time,Missed
CUST0260,Late,Missed,Missed,On-time,Missed,On-time
CUST0261,On-time,Missed,Late,On-time,On-time,Late
CUST0262,On-time,Missed,On-time,Late,Missed,Late
CUST0263,Late,Missed,Missed,Late,Missed,Missed
CUST0264,Late,Missed,Late,Missed,On-time,Missed
CUST0265,Late,On-time,Missed,Late,Late,On-time
CUST0266,Missed,Late,Missed,Missed,On-time,Late
CUST0267,Missed,Missed,Late,Late,Missed,Late
CUST0268,Late,Late,Missed,On-time,Missed,Late
CUST0269,Missed,Missed,On-time,On-time,Missed,Late
CUST0270,Missed,Missed,On-time,Missed,Late,Late
CUST0271,Late,Missed,Late,On-time,Missed,Missed
CUST0272,Late,Missed,Missed,Late,Late,Late
CUST0273,Missed,Late,Missed,Late,Missed,Missed
CUST0274,On-time,On-time,Missed,Missed,Late,Missed
CUST0275,Late,On-time,On-time,Late,Late,Late
CUST0276,Late,Late,On-time,Late,On-time,Missed
CUST0277,On-time,Missed,Missed,Late,Missed,On-time
CUST0278,Missed,Missed,On-time,On-time,On-time,Late
CUST0279,Missed,On-time,Late,Missed,Missed,On-time
CUST0280,Missed,Missed,Missed,Missed,Late,Missed
CUST0281,Late,Late,Late,Missed,Missed,Late
CUST0282,On-time,Missed,Missed,Late,Late,Missed
CUST0283,Missed,On-time,Missed,On-time,Late,Missed
CUST0284,On-time,On-time,On-time,On-time,Late,Missed
CUST0285,Late,Late,On-time,Late,Late,Missed
CUST0286,Late,Missed,On-time,On-time,Late,On-time
CUST0287,Missed,Missed,Late,Late,Late,Missed
CUST0288,On-time,Missed,Late,On-time,On-time,On-time
CUST0289,Missed,On-time,Late,Late,On-time,Missed
CUST0290,Late,On-time,On-time,Missed,Late,On-time
CUST0291,Late,Late,Late,Late,Late,Late
CUST0292,Missed,Late,Missed,On-time,Missed,Missed
CUST0293,Late,Late,Late,Late,Missed,Missed
CUST0294,Late,Late,On-time,Missed,On-time,Missed
CUST0295,Missed,Missed,On-time,Late,Late,On-time
CUST0296,Missed,Missed,Late,Missed,Late,Missed
CUST0297,On-time,On-time,On-time,On-time,Missed,On-time
CUST0298,Late,On-time,Late,On-time,Missed,Missed
CUST0299,Late,Missed,On-time,Late,Missed,On-time
CUST0300,Missed,Late,Late,Late,Missed,On-time
CUST0301,Missed,Late,Late,Missed,On-time,Late
CUST0302,Missed,Late,Late,Late,Missed,Late
CUST0303,Missed,Late,Late,Missed,On-time,Missed
CUST0304,Late,Late,Missed,Missed,Missed,Late
CUST0305,Late,Missed,On-time,On-time,On-time,Late
CUST0306,Late,Late,Late,On-time,Missed,On-time
CUST0307,On-time,On-time,Late,Missed,Late,On-time
CUST0308,Missed,Late,On-time,Missed,Missed,Missed
CUST0309,Missed,Late,On-time,Late,Late,On-time
CUST0310,Late,Missed,Missed,Late,On-time,Late
CUST0311,Late,Late,On-time,Missed,Late,On-time
CUST0312,Missed,Late,Missed,Missed,Late,Missed
CUST0313,Missed,On-time,On-time,On-time,Late,Late
CUST0314,On-time,Missed,Late,On-time,Late,On-time
CUST0315,Late,Late,Missed,Missed,Late,Late
CUST0316,Late,On-time,Late,On-time,On-time,On-time
CUST0317,On-time,On-time,Late,Missed,Missed,On-time
CUST0318,On-time,Late,On-time,On-time,Missed,Late
CUST0319,Missed,Missed,Missed,Late,On-time,On-time
CUST0320,Late,Missed,On-time,On-time,Missed,On-time
CUST0321,Missed,On-time,Late,Missed,Missed,Late
CUST0322,Late,On-time,On-time,Late,Late,On-time
CUST0323,Missed,On-time,Missed,Missed,Missed,On-time
CUST0324,On-time,On-time,On-time,On-time,Missed,On-time
CUST0325,Missed,On-time,Missed,Late,On-time,Late
CUST0326,On-time,Missed,On-time,Missed,Missed,Missed
CUST0327,Late,Late,Missed,On-time,Missed,Late
CUST0328,Missed,Missed,Missed,Late,Missed,Missed
CUST0329,On-time,Missed,Late,Missed,On-time,Late
CUST0330,Late,On-time,On-time,Late,On-time,On-time
CUST0331,On-time,Missed,Missed,On-time,Missed,Late
CUST0332,On-time,Late,Late,Late,Missed,On-time
CUST0333,Missed,Late,Late,Missed,On-time,Late
CUST0334,Missed,Late,On-time,On-time,On-time,Missed
CUST0335,On-time,On-time,Late,On-time,Missed,Late
CUST0336,Missed,Missed,Late,Missed,Missed,Late
CUST0337,On-time,Late,On-time,On-time,On-time,Late
CUST0338,On-time,Missed,Late,Late,On-time,Missed
CUST0339,Late,Missed,Missed,Late,Missed,Late
CUST0340,Late,Late,On-time,Missed,Late,Missed
CUST0341,On-time,Late,Late,Missed,Late,Missed
CUST0342,Missed,Missed,On-time,Late,Late,Missed
CUST0343,Late,On-time,Missed,Late,Missed,On-time
CUST0344,On-time,On-time,On-time,On-time,Missed,Late
CUST0345,On-time,Missed,On-time,On-time,On-time,Late
CUST0346,On-time,On-time,On-time,Late,Missed,Missed
CUST0347,On-time,Late,Missed,Missed,Missed,Missed
CUST0348,Late,On-time,Late,On-time,Late,On-time
CUST0349,Missed,On-time,Missed,Missed,On-time,On-time
CUST0350,On-time,Missed,Late,Late,On-time,Late
CUST0351,Missed,On-time,Late,On-time,Late,Missed
CUST0352,Missed,Late,Late,Late,Late,Missed
CUST0353,Missed,Missed,Late,Late,On-time,Missed
CUST0354,On-time,Missed,On-time,Missed,Missed,Late
CUST0355,Missed,On-time,Missed,On-time,On-time,Late
CUST0356,On-time,On-time,Missed,Late,Missed,Late
CUST0357,Missed,On-time,Missed,On-time,Late,Missed
CUST0358,Missed,On-time,Late,On-time,Late,On-time
CUST0359,On-time,On-time,Missed,Missed,On-time,Missed
CUST0360,Missed,On-time,On-time,Missed,Late,Late
CUST0361,On-time,Missed,Late,On-time,On-time,Missed
CUST0362,Late,Missed,Late,On-time,On-time,Late
CUST0363,Missed,Missed,Missed,Missed,Late,Missed
CUST0364,Late,On-time,On-time,Late,Missed,Late
CUST0365,Missed,On-time,Late,Late,On-time,Late
CUST0366,Missed,On-time,Late,Missed,Missed,On-time
CUST0367,Missed,On-time,On-time,Missed,Late,Late
CUST0368,Late,Missed,Late,Late,On-time,Missed
CUST0369,Late,On-time,Missed,On-time,On-time,On-time
CUST0370,On-time,Missed,On-time,Late,Late,Missed
CUST0371,Late,Late,Late,Missed,Missed,Missed
CUST0372,Missed,Late,Missed,On-time,Missed,Late
CUST0373,Late,On-time,On-time,Late,Missed,Late
CUST0374,On-time,On-time,On-time,Missed,Late,Late
CUST0375,Missed,Missed,Missed,Missed,On-time,Missed
CUST0376,Missed,Missed,Late,On-time,Missed,Late
CUST0377,On-time,Late,On-time,Late,On-time,On-time
CUST0378,Late,Late,On-time,Missed,On-time,Late
CUST0379,Missed,Missed,Missed,Late,On-time,Late
CUST0380,Late,Late,On-time,Missed,Missed,Late
CUST0381,Late,On-time,Late,Missed,Late,On-time
CUST0382,Missed,On-time,On-time,Late,Late,On-time
CUST0383,Late,Late,Missed,Missed,Late,Missed
CUST0384,On-time,Missed,Missed,Late,On-time,Missed
CUST0385,Missed,Late,Late,Missed,On-time,Missed
CUST0386,Missed,Missed,On-time,Late,Late,On-time
CUST0387,Late,Missed,Late,Missed,Missed,On-time
CUST0388,Missed,Late,On-time,Late,On-time,Missed
CUST0389,Missed,On-time,Missed,Late,Missed,Missed
CUST0390,On-time,Missed,Late,Missed,Missed,Missed
CUST0391,Late,Late,Missed,Missed,On-time,Missed
CUST0392,Late,On-time,Late,Late,Late,Missed
CUST0393,Late,Missed,On-time,On-time,Missed,Late
CUST0394,On-time,Missed,Late,On-time,Missed,On-time
CUST0395,On-time,Late,On-time,On-time,Missed,Missed
CUST0396,On-time,On-time,On-time,Missed,Missed,Late
CUST0397,On-time,Late,On-time,Missed,On-time,Late
CUST0398,Late,Missed,Missed,Late,On-time,Missed
CUST0399,Late,Missed,Missed,Missed,Late,On-time
CUST0400,On-time,Late,On-time,Late,Missed,On-time
CUST0401,Missed,Missed,On-time,On-time,Missed,Late
CUST0402,On-time,Missed,Missed,On-time,Late,Late
CUST0403,On-time,On-time,On-time,Late,Late,On-time
CUST0404,On-time,On-time,Missed,On-time,Late,Missed
CUST0405,Late,On-time,On-time,On-time,Missed,Missed
CUST0406,Missed,Late,Late,Late,Missed,Late
CUST0407,Missed,On-time,Missed,On-time,On-time,Late
CUST0408,On-time,Missed,On-time,Late,Missed,Missed
CUST0409,On-time,Late,Late,Late,On-time,Late
CUST0410,On-time,Late,Missed,On-time,Missed,On-time
CUST0411,On-time,Missed,Missed,Missed,Late,Missed
CUST0412,Missed,On-time,Late,Late,Late,Missed
CUST0413,Missed,On-time,Late,Missed,On-time,Late
CUST0414,Late,Missed,On-time,On-time,Missed,Missed
CUST0415,On-time,Missed,Late,Missed,On-time,Late
CUST0416,Missed,Late,Late,On-time,Missed,Late
CUST0417,Late,On-time,On-time,Late,Missed,Late
CUST0418,Late,Late,Late,On-time,On-time,Late
CUST0419,Late,Late,Late,Late,On-time,On-time
CUST0420,Late,Late,Late,On-time,On-time,Missed
CUST0421,Missed,Missed,Late,Missed,On-time,Missed
CUST0422,On-time,Late,Late,On-time,Missed,Missed
CUST0423,On-time,Late,Missed,On-time,On-time,Missed
CUST0424,Missed,Late,Missed,On-time,Late,Late
CUST0425,Missed,On-time,Missed,Missed,Missed,Late
CUST0426,Late,On-time,Missed,Missed,Late,Late
CUST0427,Late,On-time,Missed,Late,Late,Missed
CUST0428,Missed,On-time,Missed,On-time,Late,Missed
CUST0429,On-time,Missed,On-time,Late,Late,On-time
CUST0430,Missed,On-time,Missed,Late,Late,On-time
CUST0431,Missed,On-time,Late,On-time,Late,Missed
CUST0432,On-time,Late,Missed,On-time,Late,Missed
CUST0433,On-time,Late,On-time,Missed,On-time,Missed
CUST0434,Late,Late,Late,Late,Missed,Late
CUST0435,Missed,On-time,Missed,Missed,Missed,On-time
CUST0436,Late,Missed,Late,On-time,On-time,Late
CUST0437,Missed,Late,On-time,Missed,Late,Missed
CUST0438,Missed,On-time,Late,On-time,Late,On-time
CUST0439,Late,On-time,On-time,Late,On-time,On-time
CUST0440,Missed,Missed,Late,On-time,Missed,Late
CUST0441,Missed,Missed,Missed,Missed,Missed,Missed
CUST0442,Missed,Late,Late,On-time,On-time,Missed
CUST0443,On-time,Late,On-time,On-time,On-time,On-time
CUST0444,On-time,Missed,On-time,Late,On-time,On-time
CUST0445,Missed,Late,Late,On-time,Missed,Missed
CUST0446,On-time,Late,On-time,Late,Missed,On-time
CUST0447,Missed,On-time,On-time,Missed,Missed,On-time
CUST0448,Missed,Missed,Late,On-time,Missed,Missed
CUST0449,On-time,On-time,Missed,Missed,Missed,On-time
CUST0450,Missed,Late,On-time,On-time,Late,Missed
CUST0451,On-time,Late,On-time,On-time,On-time,Missed
CUST0452,On-time,Missed,Missed,On-time,Missed,Missed
CUST0453,Late,Late,Missed,Missed,Late,Missed
CUST0454,Missed,Missed,On-time,Late,On-time,Missed
CUST0455,On-time,Missed,Late,Late,Missed,Missed
CUST0456,Late,Missed,Late,On-time,Late,On-time
CUST0457,Late,Late,Missed,On-time,Late,On-time
CUST0458,Late,Missed,Late,Missed,Late,On-time
CUST0459,Missed,Late,On-time,On-time,Missed,Late
CUST0460,Late,Late,Late,Missed,Late,Missed
CUST0461,Missed,Missed,On-time,On-time,Late,Missed
CUST0462,Late,Missed,Late,Missed,Missed,On-time
CUST0463,On-time,Late,Late,Missed,On-time,On-time
CUST0464,On-time,Missed,On-time,Late,Late,Late
CUST0465,Missed,On-time,Missed,Missed,Missed,Late
CUST0466,Missed,Missed,Missed,Late,On-time,On-time
CUST0467,Missed,On-time,On-time,Late,Late,Missed
CUST0468,Missed,Late,On-time,Missed,Missed,Late
CUST0469,Late,Late,On-time,Late,Late,Late
CUST0470,Late,Late,Late,Missed,Late,Missed
CUST0471,On-time,On-time,Missed,Late,Missed,On-time
CUST0472,Late,On-time,On-time,Missed,On-time,Late
CUST0473,On-time,Late,Late,Missed,On-time,Missed
CUST0474,Missed,On-time,Missed,Late,Late,Late
CUST0475,On-time,Late,On-time,Late,Late,Late
CUST0476,Late,Missed,Late,On-time,On-time,Missed
CUST0477,On-time,Late,Missed,Missed,Missed,Late
CUST0478,On-time,On-time,Missed,Late,Missed,On-time
CUST0479,On-time,Late,Missed,On-time,On-time,On-time
CUST0480,Late,On-time,On-time,Missed,Late,On-time
CUST0481,Late,On-time,On-time,Missed,On-time,Late
CUST0482,Late,Late,Late,On-time,On-time,Late
CUST0483,Missed,On-time,Late,Late,Missed,Late
CUST0484,Missed,On-time,On-time,Late,Missed,On-time
CUST0485,Missed,On-time,Late,Missed,On-time,On-time
CUST0486,Missed,Missed,On-time,Late,Missed,Late
CUST0487,On-time,Late,On-time,On-time,On-time,On-time
CUST0488,On-time,Missed,Late,Missed,Missed,On-time
CUST0489,Late,Missed,Late,On-time,On-time,Missed
CUST0490,On-time,Missed,On-time,On-time,Late,On-time
CUST0491,Late,Missed,On-time,On-time,Missed,On-time
CUST0492,Missed,Missed,Missed,Late,Late,On-time
CUST0493,Missed,Missed,Late,Late,On-time,Late
CUST0494,Missed,On-time,On-time,On-time,Missed,On-time
CUST0495,Late,Late,Late,On-time,On-time,On-time
CUST0496,On-time,On-time,Missed,On-time,On-time,Late
CUST0497,On-time,On-time,Late,Late,Late,Missed
